age,male,female
0,0.006392,0.005377
4,0.00028,0.000216
9,0.000132,0.000102
14,0.000169,0.000122
19,0.000666,0.000291
24,0.001299,0.000465
29,0.001505,0.000608
34,0.001709,0.000835
39,0.001985,0.001101
44,0.00254,0.00159
49,0.003755,0.002431
54,0.006087,0.003815
59,0.009169,0.005568
64,0.013212,0.007811
69,0.018118,0.011551
74,0.027325,0.018558
79,0.042571,0.030288
84,0.070514,0.052274
89,0.147958,0.130808
